20151101
67         BAS RHIN                      
LIEU-DIT   WEGLAND                    
LIEU-DIT   WEILERBERG                 
LIEU-DIT   WEILERHOELZEL              
LIEU-DIT   WESTERBRUCH                
LIEU-DIT   WESTERMATT                 
LIEU-DIT   WINCKEL                    
LIEU-DIT   WOERTH                     
LIEU-DIT   WOLFSBRUNNEN               
LIEU-DIT   ZAEUNEN                    
LIEU-DIT   ZIEGELEI                   
LIEU-DIT   ZIEGELHUETTE               
LIEU-DIT   ZWIRLEN                    
LIEU-DIT   BLOCHGARTEN                
LIEU-DIT   CD 25                      
LIEU-DIT   CHEMIN RURAL               
LIEU-DIT   CD 69                      
RUE        DES BERGERS                
RUE        DES CATHERINETTES          
RUE        DU CERISIER                
RUE        DES CHAMPS                 
RUE        DE LA CHAPELLE             
RUE        DES CHARRONS               
RUE        DU CHEMIN DE FER           
CHEMIN     CREUX                      
RUE        DES ECOLES                 
PASSERELLE DE L EGLISE                
RUE        DE L EGLISE                
RUE        PETITE RUE DE L EGLISE     
RUE        DE LA GARE                 
RUE        HAUTE                      
RUE        DE HOCHFELDEN              
RUE        KIRCHWEG                   
RUE        DE LA KOELL                
RUE        DES MARAIS                 
RUE        MERCIERE                   
RUE        DE MINVERSHEIM             
RUE        DES MOUTONS                
RUE        NEUVE                      
RUE        DU NOYER                   
ROUTE      DE PFAFFENHOFFEN           
RUE        DU POMMIER                 
RUE        DES PRES                   
RUE        PRINCIPALE                 
RUE        DU PUITS                   
RUE        DE RINGENDORF              
IMPASSE    DES ROSEAUX                
RUE        DU STADE                   
RUE        DES SOLDATS                
RUE        DES VERGERS                
           commune :     ALTENHEIM                      departement : BAS RHIN                      
LIEU-DIT   ALLMEND                    
LIEU-DIT   AM WALDOLWISHEIMER WEG     
LIEU-DIT   BITTWINGEN                 
LIEU-DIT   BOEMSBERG                  
LIEU-DIT   DER KLEINE JUNGENBERG      
LIEU-DIT   DIETSWEG                   
LIEU-DIT   DURNINGER MATT             
LIEU-DIT   ESELSGASS                  
LIEU-DIT   FRAUENBERG                 
LIEU-DIT   HERRENWEG                  
LIEU-DIT   HINTER DEM BERG            
LIEU-DIT   JUNGENBERG                 
LIEU-DIT   KLEINFELD                  
LIEU-DIT   KOHLENBERG                 
LIEU-DIT   KUHNEN                     
LIEU-DIT   KUHSTEIG                   
LIEU-DIT   LITTENHEIMER WEG           
LIEU-DIT   LUTHERSHOFFEN              
LIEU-DIT   MILCHBERG                  
LIEU-DIT   MITTELFELD                 
LIEU-DIT   MORENTAL                   
LIEU-DIT   MORENTALBERG               
LIEU-DIT   NACHTALLMEND               
LIEU-DIT   PFUHL                      
LIEU-DIT   PLOGEL                     
LIEU-DIT   REBALLMEND                 
LIEU-DIT   RIEDLING                   
LIEU-DIT   ROSENBERG                  
