20151101
03         ALLIER                        
LIEU-DIT   ETANG DU LAC               
LIEU-DIT   ETANG DU LANGERON          
LIEU-DIT   ETANG DU LIEU JOBIER       
LIEU-DIT   LA FAVIERE                 
LIEU-DIT   LES FONDS NEUFS            
LIEU-DIT   LA FONT CAILLET            
LIEU-DIT   FORET DE BAGNOLET          
LIEU-DIT   LA FORTE TERRE             
LIEU-DIT   LA FOSSE                   
LIEU-DIT   FOSSE DE LA RUE            
LIEU-DIT   LES FOSSES                 
LIEU-DIT   FOSSES DU GRAND ETANG DE E 
LIEU-DIT   LE FOUR A CHAUX            
LIEU-DIT   LES FOURBONNETS            
LIEU-DIT   LE FROMENTEAU              
LIEU-DIT   LE GALAND                  
LIEU-DIT   LA GARENNE                 
LIEU-DIT   LE GAVAUDON DE LA JAQUINER 
LIEU-DIT   LES GAYOTES                
LIEU-DIT   GDE PATURE DU PETIT ETANG  
LIEU-DIT   GDE PATURE FOSSES DU CHATE 
LIEU-DIT   LA GOMATRIE D EN BAS       
LIEU-DIT   GOMATRIE D EN HAUT         
LIEU-DIT   GOMATRIE ET TERRE FORTE    
LIEU-DIT   LA GOUTTE GUERNIE          
LIEU-DIT   LES GOUTTES                
LIEU-DIT   LES GOVIGNONS              
LIEU-DIT   GRAND CHAMP                
LIEU-DIT   LE GRAND CHAMP             
LIEU-DIT   GRAND CHAMP BRETAUD        
LIEU-DIT   GRAND CHAMP CHARTIER       
LIEU-DIT   GRAND CHAMP D EN BAS       
LIEU-DIT   GRAND CHAMP DE BALET       
LIEU-DIT   GRAND CHAMP DE BOURG       
LIEU-DIT   GRAND CHAMP DE GONGES      
LIEU-DIT   GRAND CHAMP DE LA CROIX VE 
LIEU-DIT   GRAND CHAMP DE VINAIGRE    
LIEU-DIT   GRAND CHAMP DES VEAUX      
LIEU-DIT   GRAND CHAMP DU BALET       
LIEU-DIT   GRAND CHAMP DU BOIS DE BOR 
LIEU-DIT   GRAND CHAMP DU CHEMIN      
LIEU-DIT   GRAND CHAMP DU PUITS       
LIEU-DIT   GRAND CHAMP ET CHAMP DE BA 
LIEU-DIT   GRAND DOMAINE DU BREUIL    
LIEU-DIT   GRAND ETANG DE L EPINE     
LIEU-DIT   GRAND GRAVION              
LIEU-DIT   LE GRAND GUY BLANC         
LIEU-DIT   GRAND JARDIN               
LIEU-DIT   GRAND MONCEAU              
