20151101
ALLEE      ALPHONSE DE LAMARTINE      
RUE        DE L AIREAU DES BODINS     
ALLEE      BERTHE MORISOT             
RUE        DES BOURDAISIERES          
CHEMIN     DE BOYERES                 
RUE        DU CHATEAU D EAU           
RUE        DE LA CROIX BERGE          
CHEMIN     DES CANTERIES              
ALLEE      CAMILLE CLAUDEL            
RUE        DES ECOLES                 
PLACE      DE L EGLISE                
CHEMIN     DES EPINETTES              
RUE        DU FOYER RURAL             
RUE        FLEURIE                    
CHEMIN     DE LA GARE                 
RUE        DU GROS CHENE              
RUE        DU GENERAL DE GAULLE       
RUE        DES LOISIRS                
PLACE      DU 8 MAI 1945              
IMPASSE    DE LA MAIRIE               
ALLEE      MAURICE RAVEL              
PASSAGE    JEAN MOULIN                
RUE        DU 11 NOVEMBRE 1918        
PLACE      DES PETITS PAVES           
CHEMIN     DU PLESSIS                 
RUE        DE LA POSTE                
RUE        PRINCIPALE                 
PASSAGE    MARCEL RABACHE             
CHEMIN     DU REGAIN                  
IMPASSE    REJAUDRY                   
CHEMIN     RURAL N0 97 DU ROUCHERAY   
CHEMIN     DES SAINFOINS              
RUE        SERPENTINE                 
CHEMIN     DE LA VACANCE              
ROUTE      DE PERNAY                  
           commune :     AMBOISE                        departement : INDRE ET LOIRE                
CLOS       DES ALOUETTES              
CITE       DU CLOS DES GARDES         
HLM        H L M                      
CLOS       PACELLO                    
           PLAISANCE                  
LIEU-DIT   L AITRE                    
LIEU-DIT   L AITRE DES COISEAUX       
LIEU-DIT   LA BAROSSERIE              
LIEU-DIT   BEAU CLOS                  
LIEU-DIT   BEL AIR                    
LIEU-DIT   BELLE ROCHE                
LIEU-DIT   LA BERGERIE                
LIEU-DIT   LES BERGERIES              
LIEU-DIT   LA BERTHELLERIE            
LIEU-DIT   LES BERTHERELLES           
LIEU-DIT   LA BIGONNERIE              
LIEU-DIT   LA BLONDELLERIE            
LIEU-DIT   LA BOITARDIERE             
LIEU-DIT   LA BONDONNIERE             
LIEU-DIT   LE BOUT DES PONTS          
LIEU-DIT   LE BREUIL                  
LIEU-DIT   LES BREUSSOLLIERES         
LIEU-DIT   LA BRIQUETTERIE            
LIEU-DIT   LES BRULONNIERES           
LIEU-DIT   LE BUISSON ROBIN           
LIEU-DIT   LE CHAMP DES MAURES        
