20151101
86         VIENNE                        
LIEU-DIT   LE PRE DE LA FONT          
LIEU-DIT   PRE DE LA PLANCHE          
LIEU-DIT   PRE DE LA VIGNE            
LIEU-DIT   PRE DE MAISON              
LIEU-DIT   LE PRE DES SAUGES          
LIEU-DIT   LE PRE DESSUS LE POUX      
LIEU-DIT   LE PRE DU BOIS             
LIEU-DIT   PRE DU NORD                
LIEU-DIT   LE PRE DU PONT             
LIEU-DIT   LE PRE DU RIS              
LIEU-DIT   LE PRE LEGER               
LIEU-DIT   LE PRE NEUF                
LIEU-DIT   LE PRE PECHER              
LIEU-DIT   PRE RIBAU                  
LIEU-DIT   PRE VERONNIER              
LIEU-DIT   LE PRE VIEUX               
LIEU-DIT   PRE VIROLLET               
LIEU-DIT   PRES DE CHEZ PAULET        
LIEU-DIT   PRES DE LA GILLARDIERE     
LIEU-DIT   PRES DE LA RIVIERE         
LIEU-DIT   PRES DU MESLIER            
LIEU-DIT   PRES DU RIVAIL             
LIEU-DIT   PRUN                       
LIEU-DIT   PRUN CHAPITRE              
LIEU-DIT   PRUN CHEZ JOINT            
LIEU-DIT   PRUN LA BERGERIE           
LIEU-DIT   LES QUATRE CHENES          
LIEU-DIT   LE QUERREUX                
LIEU-DIT   LA QUEUE DE L AVOINE       
LIEU-DIT   LE RACLE MET               
LIEU-DIT   LA RAGUETTE                
LIEU-DIT   LE RAVIN                   
LIEU-DIT   LES RENARDIERES            
LIEU-DIT   LA RENAUDIERE              
LIEU-DIT   LE RENFERME                
LIEU-DIT   LES REPAS                  
LIEU-DIT   LES RIEURS                 
LIEU-DIT   LE RIGAUTIER               
LIEU-DIT   LES RIMAS                  
LIEU-DIT   LE RIVAIL                  
LIEU-DIT   LES RIVAILLES              
LIEU-DIT   LA RIVIERE                 
LIEU-DIT   LA ROCHE                   
LIEU-DIT   LES ROCHES                 
LIEU-DIT   LES ROCHOUX                
LIEU-DIT   LE RODET                   
LIEU-DIT   LES RONCES                 
LIEU-DIT   LES RONDIERES              
LIEU-DIT   LA RONERIE                 
LIEU-DIT   LES ROUETS                 
LIEU-DIT   ROUYOUX                    
LIEU-DIT   LE RUISSEAU                
LIEU-DIT   LES SABLES                 
LIEU-DIT   SAINT JOSEPH               
LIEU-DIT   SAINT MICHEL               
LIEU-DIT   SALVERT                    
LIEU-DIT   LES SAUGES                 
LIEU-DIT   LES SAULES                 
LIEU-DIT   LES SECONDAS               
LIEU-DIT   LES SEPT BOISSELEES        
LIEU-DIT   LES SERAILS                
LIEU-DIT   LE SIFFEURA                
LIEU-DIT   LES SILLONS                
LIEU-DIT   LES SOULEAUX               
LIEU-DIT   LES SOURDIS                
LIEU-DIT   LA TACHE                   
LIEU-DIT   TAGEAU                     
LIEU-DIT   LES TAILLIS                
LIEU-DIT   TAILLIS DE SALVERT         
LIEU-DIT   LE TAJEAU                  
LIEU-DIT   LES TERRES                 
LIEU-DIT   LES TERRES ROUGES          
LIEU-DIT   LE TERRIER                 
LIEU-DIT   LE TERRIER DE LA FONT      
LIEU-DIT   LES TERRIERES              
LIEU-DIT   LES TERRIERS               
LIEU-DIT   LA THIAUDIERE              
LIEU-DIT   LE TIERS DE L EFFE         
LIEU-DIT   LES TIMOUNIS               
LIEU-DIT   LA TIRETTE                 
LIEU-DIT   TORSAC                     
LIEU-DIT   LA TOUCHE                  
LIEU-DIT   LE TRAIN LAVERGNE          
LIEU-DIT   LA TREMBLADE               
LIEU-DIT   LA TREMBLEE                
LIEU-DIT   LES VALLEES                
LIEU-DIT   LA VARENNE                 
LIEU-DIT   LES VARENNES               
LIEU-DIT   LA VAUX                    
LIEU-DIT   LA VERGNADE                
LIEU-DIT   LES VERGNADES              
LIEU-DIT   LA VERGNASSE               
LIEU-DIT   LES VERGNAUDES             
LIEU-DIT   LA VERGNE                  
LIEU-DIT   LA VERRERIE                
LIEU-DIT   LA VIEILLE VIGNE           
LIEU-DIT   LES VIEILLES VIGNES        
LIEU-DIT   LES VIEUX REPAS            
LIEU-DIT   LES VIGNAUX                
LIEU-DIT   LA VIGNE                   
LIEU-DIT   LA VIGNE DE FEDEAU         
LIEU-DIT   VIGNE DES COURS            
LIEU-DIT   LA VIGNE DU PEROU          
LIEU-DIT   LES VIGNES                 
LIEU-DIT   VIGNES D ASSAS             
LIEU-DIT   LES VIGNES D ENTREFIN      
LIEU-DIT   LES VIGNES DES GUETS       
LIEU-DIT   LE VILLARD                 
LIEU-DIT   LES VILLARDS               
LIEU-DIT   LES VILLARS                
LIEU-DIT   LES CHAMPS DES CHATAIGNIER 
LIEU-DIT   LE CHAMP DU BOIS           
LIEU-DIT   LES GENETS                 
LIEU-DIT   LE PRE DU MOULIN           
LIEU-DIT   LE GRAND VILLEMER          
RUE        DU PEU                     
RUE        DU CHAMP DE FOIRE          
PLACE      DU LAVOIR                  
RUE        DU BOIS DU PIC             
CHEMIN     DU BOIS RIVAULT            
CHEMIN     DE LA CAILLERIE            
RUE        DU CHAFFAUD                
CHEMIN     DES DEUX CHENES            
RUE        DE L ECOLE                 
RUE        DE LA FONT NOREE           
RUE        DE LA FOUINETTE            
RUE        DE L HOSPICE               
RUE        DES JARDINS                
IMPASSE    DU LOGIS                   
PLACE      DE LA MAIRIE               
RUE        DU PETIT PARIS             
RUE        PRINCIPALE                 
RUE        SERPENTINE                 
RUE        DES TILLEULS               
RUE        DES VIGNES                 
RUE        DU VILLARS                 
ROUTE      NATIONALE                  
RUE        DU BOIS DU PIC             
CHEMIN     DU BOIS RIVAULT            
CHEMIN     DE LA CAILLERIE            
RUE        DU CHAFFAUD                
RUE        DU CHAMP DE FOIRE          
RUE        DES CHENES                 
CHEMIN     DES DEUX CHENES            
RUE        DE L'ECOLE                 
PLACE      DE L'EGLISE                
RUE        DE LA FONT NOREE           
RUE        DE LA FOUINETTE            
RUE        GARESTIER LAPIERRE         
RUE        GARESTIER LAPIERRE         
RUE        DES JARDINS                
PLACE      DU LAVOIR                  
IMPASSE    DU LOGIS                   
PLACE      DE LA MAIRIE               
PLACE      DU MONUMENT AUX MORTS      
ROUTE      NATIONALE                  
RUE        DU PETIT PARIS             
RUE        DU PEU                     
RUE        PRINCIPALE                 
RUE        SERPENTINE                 
RUE        DES TILLEULS               
RUE        DES VIGNES                 
RUE        DU VILLARS                 
           commune :     AMBERRE                        departement : VIENNE                        
HAM        DU GRAND LOGIS             
HAM        DU MOULIN VERT             
HAM        DE PITACHON                
RESIDENCE  DE BINCY                   
CITE       DES ERABLES                
RESIDENCE  DU LIZON                   
