20151101
LIEU-DIT   LE BRIQUART                
LIEU-DIT   CHAMPS LAMBERT             
LIEU-DIT   CHEMIN FOURCHU             
LIEU-DIT   CLOTOURNE                  
LIEU-DIT   AU DESSOUS DE SAINT JEAN   
LIEU-DIT   LA HAUTE PLANCHE           
LIEU-DIT   LE MONT MENARD             
LIEU-DIT   MONT MENARD                
LIEU-DIT   ODON VERRIER               
LIEU-DIT   PRES D ENFER               
LIEU-DIT   PRES DE LA BESSE           
LIEU-DIT   PRES GIRARD                
LIEU-DIT   PRES LA SAINTE             
LIEU-DIT   RAVE ALLEMAND              
LIEU-DIT   RIERE LES SCIES            
LIEU-DIT   SAINT JEAN                 
LIEU-DIT   SOUS LE MONT MENARD        
LIEU-DIT   STOFFEL ROUTE              
LIEU-DIT   TERRE LA SUISSE            
LIEU-DIT   TERRES ABRUN               
LIEU-DIT   TERRES DU CHENE            
LIEU-DIT   TERRES HIRTZLIN            
LIEU-DIT   VERS CHEZ DUPONT           
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   VITERFOR                   
RUE        DES BRUYERES               
RUE        DU CHATEAU                 
RUE        DU COIN DU BOIS            
RUE        DES ETANGS                 
RUE        DES FALANDRIERS            
ROUTE      DE GIROMAGNY               
RUE        DE LA GOUTTE               
RUE        DU MONT MENARD             
RUE        DU GROS CHENE              
RUE        DE L ORDON VERRIER         
RUE        DES RACINES                
RUE        DE LA RISATTE              
RUE        DES ROCHES                 
RUE        DES ROSIERS                
RUE        SAINT JEAN                 
RUE        DE LA SERRURERIE           
RUE        DE LA STOLLE               
RUE        DE LA SUISSE               
RUE        DE LA VIEILLE ROUTE        
           commune :     BANVILLARS                     departement : TERRITOIRE DE BELFORT         
LIEU-DIT   AUX BARLOTS CORCHEVAIS     
LIEU-DIT   LE BEAU BOIS               
LIEU-DIT   BEYSSOT                    
LIEU-DIT   SUR LE BIE                 
LIEU-DIT   LES BREUILS                
LIEU-DIT   CHAMP DE LA CROIX          
LIEU-DIT   CHAMP RAIE                 
LIEU-DIT   CHAMPS BELOT               
LIEU-DIT   AUX CHAMPS CLOS            
LIEU-DIT   CHAMPS CLOS                
LIEU-DIT   CHAMPS DU BAN              
LIEU-DIT   CHAMPS DU MARS             
LIEU-DIT   SUR LE CHEMIN DE MONTBELIA 
LIEU-DIT   AUX CHENOIS CHAMPS BOUNOM  
LIEU-DIT   LA CLAVIERE                
LIEU-DIT   AUX COMBATTES              
LIEU-DIT   COMBE JEAN MARTIN          
LIEU-DIT   AUX COMBENSIERS            
LIEU-DIT   LA CONNAIE                 
LIEU-DIT   LA COTE                    
LIEU-DIT   COTE DE FROY               
LIEU-DIT   COTEAU JACQUOT             
LIEU-DIT   COTEAU RATIVEAU            
LIEU-DIT   EN CRABOT                  
LIEU-DIT   EN DRAVIGNAY               
LIEU-DIT   ES CHARAIGNES              
LIEU-DIT   ES CUNEMENE                
LIEU-DIT   ES FEUX LA PRUSSE          
LIEU-DIT   AUX ESSAUROTS              
LIEU-DIT   AUX ESSERTS                
LIEU-DIT   SUR LES ESSERTS            
LIEU-DIT   LE FAHY                    
LIEU-DIT   LA FORAGE                  
LIEU-DIT   SUR LES FOUGERES           
LIEU-DIT   SUR LE FOUR                
LIEU-DIT   LA FUYE SUR ROI            
LIEU-DIT   LES GAUBES                 
LIEU-DIT   LE GRAND BOIS              
LIEU-DIT   AUX GRANDS CHAMPS          
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LONGUE ROYE                
LIEU-DIT   LA PAICATE                 
LIEU-DIT   LA PALE                    
LIEU-DIT   A LA PALLE                 
LIEU-DIT   LE PAQUIS                  
LIEU-DIT   LE PATRIMOINE              
LIEU-DIT   EN PENSE                   
LIEU-DIT   SUR LES PERRIERES          
LIEU-DIT   PLANCHES SAINT PERES       
LIEU-DIT   EN PRAILLES                
LIEU-DIT   LES PRAILLES               
LIEU-DIT   PRES DU PONT               
LIEU-DIT   PRES LA ROSE               
LIEU-DIT   PRES MILLETS               
LIEU-DIT   LA PRUSSE                  
LIEU-DIT   LA QUEUE D AGASSE          
LIEU-DIT   AUX RAIES GERBE            
LIEU-DIT   SUR RATIVEAU               
LIEU-DIT   SOUS LA VIGNE              
LIEU-DIT   SOUS LE FAHY               
LIEU-DIT   SOUS LE FARRAY             
LIEU-DIT   SOUS LES TEINTS            
LIEU-DIT   SOUS RATEAU                
LIEU-DIT   SOUS VERSE                 
