20151101
976         MAYOTTE                       
RUE        REMANOROU                  
CHEMIN     DES RESERVOIRS             
CHEMIN     BABA RIDJA                 
CHEMIN     DU ROSIER                  
CHEMIN     DES ROSIERS                
CHEMIN     ROUKIA                     
CHEMIN     COLO SAFI                  
CHEMIN     DES SAGES                  
CHEMIN     ALI SAID                   
RUE        SAMBA                      
CHEMIN     SAMBA VATOU                
ROUTE      ADAN SAMI                  
CHEMIN     SAID SELEMANI              
RUE        SAID SELEMANI              
CHEMIN     SELEMANI                   
RUE        DU SENAT                   
CHEMIN     MAGASIN SIM                
CHEMIN     DADI SINGA                 
ROUTE      DE LA SOGEA                
CHEMIN     EVA SOLA                   
CHEMIN     HALIMA MADI SOUFOU         
ROUTE      DU STADE                   
CHEMIN     CIMETIERE SUD              
VEN        TAPIAKA                    
CHEMIN     ALIMA TARA                 
CHEMIN     ATTOUMANI TCHADALA         
CHEMIN     TCHAMBO                    
CHEMIN     COLO TOTO                  
RUE        MZE TOUFTROU               
CHEMIN     ZOKI TOUMBOU               
ROUTE      OURINI TSIDISKA            
RUE        RAMA TSOUNTSOU             
CHEMIN     VALA VALA                  
