20151101
69         RHONE                         
ROUTE      DE TARARE                  
CHEMIN     DES TARDIERES              
RUE        THIMONIER                  
ROUTE      DE THIZY                   
RUE        DU TRESOR                  
RUE        DE LA VIDERIE              
PLACE      VIETTY                     
RUE        DU VIEUX REVERDY           
IMPASSE    DE LA VIGNE                
MTE        DE LA VIGNE                
           commune :     AMPUIS                         departement : RHONE                         
LOT        LE PETIT VAGNOT            
RESIDENCE  DES VIGNES                 
LIEU-DIT   L ARSELIE                  
LIEU-DIT   BACON                      
LIEU-DIT   BALEYAT                    
LIEU-DIT   BAS BOUCHAREY              
LIEU-DIT   BASSE VIALLIERE            
LIEU-DIT   BERTHOLON                  
LIEU-DIT   BESSET                     
LIEU-DIT   BONNIVIERES                
LIEU-DIT   BOUCHAREY                  
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BOURRELIERES           
LIEU-DIT   BRAMARET                   
LIEU-DIT   BRIBESAILLES               
LIEU-DIT   LA BROCARDE                
LIEU-DIT   LA BROSSE                  
LIEU-DIT   LE CARCAN                  
LIEU-DIT   CHAFFAGE                   
LIEU-DIT   CHAMPCORDAY                
LIEU-DIT   LE CHAMPIN                 
LIEU-DIT   LE CHAMPON                 
LIEU-DIT   LE CHANTIER                
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   CHATELON                   
LIEU-DIT   CHATILLON                  
LIEU-DIT   CHAUFFAGE                  
LIEU-DIT   CHAVAILLON                 
LIEU-DIT   CHAVAROCHE                 
LIEU-DIT   CHP ROND                   
LIEU-DIT   COGNET                     
LIEU-DIT   LA COLONGE                 
LIEU-DIT   COMBACHEZ                  
LIEU-DIT   LE COMBARD                 
LIEU-DIT   COMBE BERNARD              
LIEU-DIT   LES COMBES                 
LIEU-DIT   LES CORINS                 
LIEU-DIT   COTE BLONDE                
LIEU-DIT   COTE BODIN                 
LIEU-DIT   COTE BRUNE                 
LIEU-DIT   COTE FERREE                
LIEU-DIT   COTE ROZIER                
LIEU-DIT   LES COUTURES               
LIEU-DIT   LE CROPON                  
LIEU-DIT   LES DIES                   
LIEU-DIT   LES ENTES                  
LIEU-DIT   FAYARDET                   
LIEU-DIT   FONGEANT                   
LIEU-DIT   FOURVIER                   
LIEU-DIT   LE GARAT                   
LIEU-DIT   GD PLOMB                   
LIEU-DIT   LE GD PRE                  
LIEU-DIT   GERINE                     
LIEU-DIT   LE GIRARD                  
LIEU-DIT   LE GIRAUD                  
LIEU-DIT   LE GOUTAY                  
LIEU-DIT   LE GRAND BOIS              
LIEU-DIT   GRANDES PLACES             
LIEU-DIT   GRANDS TAILLIS             
LIEU-DIT   LE GRENOUILLAT             
LIEU-DIT   GUEROT                     
LIEU-DIT   ILE DE VERENAY             
LIEU-DIT   JANET                      
LIEU-DIT   LE LACAT                   
LIEU-DIT   LANCEMENT                  
LIEU-DIT   LA LANDONNE                
LIEU-DIT   LESARDES                   
LIEU-DIT   LEYAT                      
LIEU-DIT   LA MADINIERE               
LIEU-DIT   MANTELET                   
LIEU-DIT   MARSANNE                   
LIEU-DIT   MAUPERTUIS                 
LIEU-DIT   LE MOLLARD                 
LIEU-DIT   MONTMAIN                   
LIEU-DIT   MORNACHON                  
LIEU-DIT   MORNAS                     
LIEU-DIT   LES MOUTONNES              
LIEU-DIT   NAVE                       
LIEU-DIT   NEVE                       
LIEU-DIT   LA PLAINE                  
LIEU-DIT   LE PLOMB                   
LIEU-DIT   LE PORT                    
LIEU-DIT   LA RAIE                    
LIEU-DIT   LE RECRU                   
LIEU-DIT   RITOLAS                    
LIEU-DIT   LE RIVAL                   
LIEU-DIT   LA ROCHE                   
LIEU-DIT   ROCHINS                    
LIEU-DIT   ROUSSEILLY                 
LIEU-DIT   ROZIER                     
LIEU-DIT   LES SABLES                 
LIEU-DIT   SAUSAIE                    
LIEU-DIT   LE SORBIER                 
LIEU-DIT   LA TAQUIERE                
LIEU-DIT   TARTARAS                   
LIEU-DIT   TERRES DE NAVE             
LIEU-DIT   LA TRAILLE                 
LIEU-DIT   LE TRIEVES                 
LIEU-DIT   LA TRIOTE                  
LIEU-DIT   LE TRUCHET                 
LIEU-DIT   LE VAGNOT                  
LIEU-DIT   VALLIN                     
LIEU-DIT   VERENAY                    
LIEU-DIT   LA VIALLIERE               
LIEU-DIT   LE GRAND PRE               
           CENTRALE DE VAUGRIS        
           CTRLE PEAGE DE ROUSSILLON  
RUE        DES ACACIAS                
BOULEVARD  DES ALLEES                 
CHEMIN     DU BAC                     
CHEMIN     DE LA BASSE VIALLERE       
IMPASSE    DE LA BASSE VIALLERE       
ROUTE      DE BOUCHAREY               
CHEMIN     DE LA BRUNETTE             
RUE        DE LA BROCARDE             
IMPASSE    DE LA CAMETTE              
RUE        DU CARCAN                  
AVENUE     DU CHATEAU                 
RUE        DU CENTRE                  
RUE        DE LA COTE BRUNE           
CHEMIN     COTE ROTIE                 
CHEMIN     DES COUTURES               
ROUTE      DEPARTEMENTALE 386         
PLACE      DE L EGLISE                
RUE        DE LA FELODIERE            
RUE        DU GARAT                   
COTE       DE LA GERINE               
RUE        DU GRAND PRE               
CHEMIN     DE L ILE                   
RUE        DU JARRE                   
RUE        JULES DESBOIS              
ROUTE      DU LACAT                   
RUE        DU LOT. DES COTES ROTIES   
RUE        DES MARAICHERS             
CHEMIN     DES MARRONNIERS            
RUE        DE MONTLYS                 
RUE        DE MONTMAIN                
ROUTE      NATIONALE 86               
