20151101
CAE        DEL MOLI                   
IMPASSE    DU MONDONI                 
ROUTE      DE MONTALBA                
ROUTE      DE MONTBOLO                
PLACE      DE LA NATION               
PASSAGE    DES MURIERS                
RUE        DES ORANGERS               
IMPASSE    DE L ORATORY               
CAMI       DE L'OLIU                  
RUE        DES PALMIERS               
RUE        DU PARC                    
CAE        DEL PARDAL                 
CAE        DE LA PASTORETA            
RUE        PAUL PUJADE                
PLACE      DE PERPIGNAN               
CAE        DEL PICOT                  
BOULEVARD  DE LA PETITE PROVENCE      
CHEMIN     DE LA PETITE PROVENCE      
CHEMIN     DU ROC DE FRANCE           
RUE        DES PINS                   
CHEMIN     DE LA PISCINE              
RUE        DU VIEUX PONT ROMAIN       
PLACE      DE LA REPUBLIQUE           
PLACE      RAYMOND PINEDE             
RUE        DE LA RIVIERA              
CAMI       DEL RIBEROU                
SQUARE     DU ROUSSILLON              
RUE        DU SACRE COEUR             
CAE        DEL SOL                    
RUE        DU SQUARE                  
QUAI       DU TECH                    
PLACE      DES THERMES                
RUE        DES THERMES                
           RECO DEL TECH              
AVENUE     DU VIEUX PONT              
TRA        DU VIEUX PONT              
RUE        DES VERTS POMMIERS         
AVENUE     DU VALLESPIR               
CAE        VELL                       
CHEMIN     DES VERGERS                
RUE        DES ALBERES                
ROUTE      RD 618                     
RUE        DES ARBOUSIERS             
IMPASSE    DES MESANGES               
RUE        DE LA CIVADERE             
RUE        DES GINESTAS               
PLACE      PLACETTE DES DROITS ET DEV 
CAE        DELS OCELLS                
RUE        DE LA TOUR                 
CAE        DE L ORENETA               
CAE        DE LA REIXE                
RUE        DEL RENTADOR               
CHEMIN     DE SOBREVILLE              
           commune :     LES ANGLES                     departement : PYRENEES ORIENTALES           
RESIDENCE  LES AIRELLES               
RESIDENCE  LES ANGLINES               
LOT        LE BALIU                   
LOT        BALCERE                    
RESIDENCE  LE CAPCIR                  
LOT        LE BALCON DU CAPCIR        
RESIDENCE  LA COUME D OR              
RESIDENCE  LES BLEUETS                
RESIDENCE  LES CAMPOREILS             
