20151101
25         DOUBS                         
LIEU-DIT   LA HAUTE BORNE             
LIEU-DIT   HAUTE PLANCHE              
LIEU-DIT   JARDINS DE LA CROIX        
LIEU-DIT   JARDINS DE LA VILLE        
LIEU-DIT   A MARCHELAVILLERS          
LIEU-DIT   AUX MILLIERES              
LIEU-DIT   A MONTIVAUX                
LIEU-DIT   LES NESUS                  
LIEU-DIT   SUR LES NESUS              
LIEU-DIT   AUX OUCHOTTES              
LIEU-DIT   EN PAILLARD                
LIEU-DIT   SUR PAILLARD               
LIEU-DIT   AUX PAIROTTES              
LIEU-DIT   A LA PALE                  
LIEU-DIT   AUX PALES                  
LIEU-DIT   A LA PATURE                
LIEU-DIT   AU PELERIN                 
LIEU-DIT   AU PEPRE                   
LIEU-DIT   PETIT CHENOIS              
LIEU-DIT   LE PETIT PARC              
LIEU-DIT   A LA PLANCHE DU GRAVIER    
LIEU-DIT   PLANCHE JEAN DEGAIN        
LIEU-DIT   AU POMMERET                
LIEU-DIT   SUR LA POUGEVIE            
LIEU-DIT   A POUTOT                   
LIEU-DIT   PRE AU PRINCE              
LIEU-DIT   PRE AU SIRE                
LIEU-DIT   A PRE BOIS                 
LIEU-DIT   AU PRE DES PIERRES         
LIEU-DIT   AU PRE MORLOT              
LIEU-DIT   AU PRE TOME                
LIEU-DIT   PRES DU CHENOIS            
LIEU-DIT   PRES FORETS                
LIEU-DIT   PRES GALL                  
LIEU-DIT   AUX QUATRE PAS             
LIEU-DIT   A LA QUEUDROTTE            
LIEU-DIT   QUEUE AU LOUP              
LIEU-DIT   A LA RECULEE               
LIEU-DIT   LA RECULEE                 
LIEU-DIT   SUR LA RECULEE             
LIEU-DIT   AUX ROCHES                 
LIEU-DIT   A ROND BOIS                
LIEU-DIT   SUR LE SEULX               
LIEU-DIT   SUR LE SEUX                
LIEU-DIT   SOUS COMBE BEY             
LIEU-DIT   SOUS LA CLOISOTTE          
LIEU-DIT   SOUS LA COUDRE             
LIEU-DIT   SOUS LA VIEILLE CHAIFFERIE 
LIEU-DIT   SOUS LE CHEMIN DE CROIX    
LIEU-DIT   SOUS LE CHEMIN DE FAHY     
LIEU-DIT   AU SUELOT                  
LIEU-DIT   LES TOISES                 
LIEU-DIT   LA TRANCHEE                
LIEU-DIT   AU VANNET                  
LIEU-DIT   VERS LES CREUX             
LIEU-DIT   A LA VIEILLE CHAIFFERIE    
LIEU-DIT   AUX VIEILLES OICHES        
LIEU-DIT   AU VILLAGE                 
LIEU-DIT   SUR LA VILLE               
LIEU-DIT   VYE DE BEAUCOURT           
LIEU-DIT   SUR LA VYE DE CROIX        
LIEU-DIT   A LA VYE DE FAHY           
LIEU-DIT   A LA VYE DU MOULIN         
