20151101
09         ARIEGE                        
LIEU-DIT   PRAT DE RIOU               
LIEU-DIT   PRAT DEL RIOU              
LIEU-DIT   LES PRATS                  
LIEU-DIT   PRATS DE BAUCH             
LIEU-DIT   PRATS DE LA FOUNT          
LIEU-DIT   PRATS DE LAS CARBARISSES   
LIEU-DIT   PRATS DE LAS FEYCHES       
LIEU-DIT   PRE D ICART                
LIEU-DIT   PRES DE JOUBAC             
LIEU-DIT   PRES DES CLOTS             
LIEU-DIT   PRETS DE LA DEMOISELLE     
LIEU-DIT   QUAIR DE LA PRESOU         
LIEU-DIT   QUELEBU                    
LIEU-DIT   QUELEBU GRANGES            
LIEU-DIT   LA QUERE                   
LIEU-DIT   RAJES                      
LIEU-DIT   RASPE                      
LIEU-DIT   RASPE DE LA COUMANIE       
LIEU-DIT   LA RASPO                   
LIEU-DIT   LA RIEROLLE                
LIEU-DIT   RIOU D ALEOU               
LIEU-DIT   RIOU DE LOULE              
LIEU-DIT   RIVES DEL FRAYCHE          
LIEU-DIT   LA RIVIERE                 
LIEU-DIT   LA RIVO DE NAUT            
LIEU-DIT   ROLLIN                     
LIEU-DIT   ROUAICH                    
LIEU-DIT   ROUERE                     
LIEU-DIT   ROUERE D EN HAUT           
LIEU-DIT   ROUJAS                     
LIEU-DIT   RUSCADECH                  
LIEU-DIT   SAHUQUET                   
LIEU-DIT   LA SAPOUREDE               
LIEU-DIT   SARADAOU                   
LIEU-DIT   SARGAILLE                  
LIEU-DIT   SARRACH                    
LIEU-DIT   SARRADOTS                  
LIEU-DIT   SARRADOU                   
LIEU-DIT   SARRAT                     
LIEU-DIT   LE SARRAT                  
LIEU-DIT   SARRAT DE BOURACH          
LIEU-DIT   SARRAT DE BRANCALOT        
LIEU-DIT   SARRAT DE CAMP REDON       
LIEU-DIT   SARRAT DE CAPERE           
LIEU-DIT   SARRAT DE JOUBAGUET        
LIEU-DIT   SARRAT DE LA RANCO         
LIEU-DIT   SARRAT DE LA ROUERE        
LIEU-DIT   SARRAT DE MOUCHAC          
LIEU-DIT   SARRAT DE PALMOULA         
LIEU-DIT   SARRAT DE PINSOU           
LIEU-DIT   SARRAT DE PUGNOU           
LIEU-DIT   SARRAT DEL MAYNE           
LIEU-DIT   SARRAT DET MIECH           
LIEU-DIT   SARRAT DET QUER            
LIEU-DIT   SARRAT DU FOURC            
LIEU-DIT   LES SEGLAS                 
LIEU-DIT   LES SEGLAS SUD             
LIEU-DIT   LA SERRE                   
LIEU-DIT   SIBADA                     
LIEU-DIT   SO DE BROC                 
LIEU-DIT   SO DE JOSTE                
LIEU-DIT   LA SOUILEILLA              
LIEU-DIT   SOULEILLA DEL FOUR         
LIEU-DIT   LA SOULEILLE               
LIEU-DIT   LE SOULEILLIA              
LIEU-DIT   LA SOULEILLIO              
LIEU-DIT   LA SOULLIO                 
LIEU-DIT   LES TAILLIOUS              
LIEU-DIT   TALAPENT                   
LIEU-DIT   LE TAUX                    
LIEU-DIT   TERELS                     
LIEU-DIT   TERRENERE                  
LIEU-DIT   TERRO NERO                 
LIEU-DIT   LE TES                     
LIEU-DIT   LA TIEGE                   
LIEU-DIT   TIR                        
LIEU-DIT   LA TOURNIOLE               
LIEU-DIT   LE TOUROUN                 
LIEU-DIT   LA TRAPPE                  
LIEU-DIT   LA TRASIO                  
LIEU-DIT   LA TRASIO SUD              
LIEU-DIT   LA TRAVERSE                
LIEU-DIT   LA TREINCADE               
LIEU-DIT   TREMOULETS                 
LIEU-DIT   TREYTOS                    
LIEU-DIT   LA TRICADE                 
LIEU-DIT   TRINCADE                   
LIEU-DIT   LA TRINCADE                
LIEU-DIT   LE TROUC                   
LIEU-DIT   TUC DE BAUCH               
LIEU-DIT   TUC DE PAILLES             
LIEU-DIT   LE VERGE                   
LIEU-DIT   VERGE                      
LIEU-DIT   LA VIGNE                   
LIEU-DIT   LE VILLAGE                 
           commune :     ALLIAT                         departement : ARIEGE                        
           LE CHAMP DE LA VIGNE       
LIEU-DIT   EN BATAILLE                
LIEU-DIT   LE BAUX                    
LIEU-DIT   BERSE                      
LIEU-DIT   LE BRIZAU                  
LIEU-DIT   CALAMAS                    
LIEU-DIT   CAMBAJOU                   
LIEU-DIT   CAMP FOURCAT               
LIEU-DIT   CAP DE FAJO FREDO          
LIEU-DIT   LA CAUGNO DE LAS BAQUOS    
LIEU-DIT   LA COUMO                   
LIEU-DIT   ENFOURNAS                  
LIEU-DIT   EYCHARS                    
LIEU-DIT   FAJO FREDO                 
LIEU-DIT   LE FANGAS                  
LIEU-DIT   GALACH                     
LIEU-DIT   LA GARRIGO DES FOURNELS    
LIEU-DIT   LA GRANGE                  
LIEU-DIT   LADREITO                   
LIEU-DIT   LAS CLAUZELOS              
LIEU-DIT   LAS LAUZASSOS              
LIEU-DIT   LAS PLOURGOS               
LIEU-DIT   LAZEROU                    
LIEU-DIT   LESTOU                     
LIEU-DIT   MOULINAS                   
LIEU-DIT   LA MOULINE                 
LIEU-DIT   PEYVIDAL                   
LIEU-DIT   LE PIJOULET                
LIEU-DIT   PINAT                      
LIEU-DIT   PRADO DE LA HILLO          
LIEU-DIT   LE REMOULI                 
LIEU-DIT   LA RIVAROLO                
LIEU-DIT   LE SICLE                   
LIEU-DIT   TAIL DE LAS GEITOS         
LIEU-DIT   LE TERREFORT               
LIEU-DIT   LE TICOL DE LA PEGE        
LIEU-DIT   VILLAGE                    
IMPASSE    DU BARRY D AMONT           
IMPASSE    DU BARRY D AVAL            
IMPASSE    DU CANTOU                  
RUE        DU CANTOU                  
