20151101
08         ARDENNES                      
LIEU-DIT   LOUVENCHAMP                
LIEU-DIT   LES MARAIS                 
LIEU-DIT   MARTIN PRE                 
LIEU-DIT   MIGNY                      
LIEU-DIT   LE PERCHET                 
LIEU-DIT   LES PETITES COUTURES       
LIEU-DIT   LES PETITES PATURES        
LIEU-DIT   LE PONT THENAUX            
LIEU-DIT   PRE DE LA MOTTE            
LIEU-DIT   PRE DES BASSES PATURES     
LIEU-DIT   PRE DES GRANDS AIVIS       
LIEU-DIT   PRE LE COMTE               
LIEU-DIT   LE PRE MERY                
LIEU-DIT   LE PUNCHET                 
LIEU-DIT   LES QUARTIERS              
LIEU-DIT   RAUPREZ                    
LIEU-DIT   REINIRUT                   
LIEU-DIT   LES RIGOLLES               
LIEU-DIT   SAUSSEUIL                  
LIEU-DIT   LES SAYETTES               
LIEU-DIT   LES SECRONS                
LIEU-DIT   LES SEPT CENTS             
LIEU-DIT   LES SIX ARPENTS            
LIEU-DIT   SIX ARPENTS DERRIERE LA GR 
LIEU-DIT   SOUS LA VILLE              
LIEU-DIT   SOUS LE CHATEAU            
LIEU-DIT   SOUS LE MOULIN             
LIEU-DIT   SOUS ROUELLE               
LIEU-DIT   LES TEIGNIERES             
LIEU-DIT   LE TEMPLE                  
LIEU-DIT   TERRE DE LA CROIX MORLET   
LIEU-DIT   LA TERRE DES MARAIS        
LIEU-DIT   TERRE DU RUTZ              
LIEU-DIT   THIAUX                     
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LA VILLETTE                
LIEU-DIT   LA VISIAU                  
LIEU-DIT   LES 18 ARPENS              
ROUTE      D ALLANDHUY                
RUE        L'ABBE MARCHAND            
RUE        DU CHATEAU                 
RUE        DE L AUCHE                 
CHEMIN     DU CHESNOIS                
RUELLE     DE LA COQSALE              
RUE        CHARLES BATTEUX            
PLACE      DE L EGLISE                
RUELLE     DE L EGLISE                
RUE        EUGENE CHOAY               
IMPASSE    DE L EPINETTE              
RUE        DE LA GARE                 
GR         GRANDE RUE                 
RUE        DU JARDINEAU               
RUE        DU PARC                    
RUE        DU LAVOIR                  
RUE        DE LA LIBERTE              
RUELLE     DU PARC                    
RUE        MI LA VILLE                
RUE        DU MOULIN                  
RUELLE     POTHIER                    
RUE        PRINCIPALE                 
RUE        DES RESISTANTS             
RUELLE     DE THIAUX                  
RUE        DE LA VILLETTE             
RUELLE     DE LA VILLETTE             
           commune :     LES ALLEUX                     departement : ARDENNES                      
LIEU-DIT   LA BARBE DURAND            
LIEU-DIT   LA BEASSERIE               
LIEU-DIT   LA BELLE SAULE             
LIEU-DIT   BILLY                      
LIEU-DIT   LA BLANCHE MAISON          
LIEU-DIT   LE BOCHET                  
LIEU-DIT   BOIS DE L EGLISE           
LIEU-DIT   BOIS DE LA MAILLE          
LIEU-DIT   LE BOIS DE RHIN            
LIEU-DIT   BOIS DU SURE               
LIEU-DIT   LA BORNE ECRITE            
LIEU-DIT   BOULE DES VIEUX PRES       
LIEU-DIT   LA BRULERIE                
LIEU-DIT   LES BRULINS                
LIEU-DIT   CARPILLON                  
LIEU-DIT   LA CHAPELLE                
LIEU-DIT   CHEMIN DE LA WAGNERIE      
LIEU-DIT   CHEMIN DE MARCELOT         
LIEU-DIT   CHEMIN DE MONTGON          
LIEU-DIT   LES CHENNEVIERES           
LIEU-DIT   LA CITADELLE               
LIEU-DIT   CLOS DU MOULIN             
LIEU-DIT   LE COIN                    
LIEU-DIT   COTE FRULIN                
LIEU-DIT   COULEUVRE                  
LIEU-DIT   LA CROIX                   
LIEU-DIT   LA CROIX DES BUTTES        
LIEU-DIT   CULEE VALERY               
LIEU-DIT   DESCENTE DES MOLIERES      
LIEU-DIT   AU DESSUS DES CLOS         
LIEU-DIT   AU DESSUS DU BOCHET        
LIEU-DIT   ETANG DES PIERRES          
LIEU-DIT   LE FIEF                    
LIEU-DIT   LA FONTAINE DES COCHONS    
LIEU-DIT   FONTAINE DES HETRES        
LIEU-DIT   FONTAINE L ANGE            
LIEU-DIT   FOSSE CASY                 
LIEU-DIT   LA FOURCIERE               
LIEU-DIT   LA FULOTTE                 
LIEU-DIT   LA GALETTRIE               
LIEU-DIT   LA GARENNE                 
