20151101
48         LOZERE                        
LIEU-DIT   PRAT DARIOS                
LIEU-DIT   PRAT DARIOS L OUSTAL       
LIEU-DIT   PRAT DE CHADEL             
LIEU-DIT   PRAT DE JACQUES            
LIEU-DIT   PRAT DE JONAS              
LIEU-DIT   PRAT DE L ARBRE            
LIEU-DIT   PRAT DE L HORT             
LIEU-DIT   PRAT DE L OUSTAL           
LIEU-DIT   PRAT DE LA BARTHE          
LIEU-DIT   PRAT DE LA BESSE OU FROMEN 
LIEU-DIT   PRAT DE LA CHARREYRE       
LIEU-DIT   PRAT DE LA CHON            
LIEU-DIT   LE PRAT DE LA FOUON        
LIEU-DIT   PRAT DE LA GRONGE          
LIEU-DIT   PRAT DE LA LONDO           
LIEU-DIT   PRAT DE LA RIBEYRO         
