20151101
32         GERS                          
LIEU-DIT   A ENJOUANIDES              
LIEU-DIT   A ENJOUANISSON             
LIEU-DIT   A ENMARTIMON               
LIEU-DIT   A ENMARTINON               
LIEU-DIT   A ENMIQUEOU                
LIEU-DIT   A ENPOUCHET                
LIEU-DIT   A ENRAME                   
LIEU-DIT   A ENSIGUES                 
LIEU-DIT   ENTRUQUE                   
LIEU-DIT   A EUGUILLONNET             
LIEU-DIT   A FABIANE                  
LIEU-DIT   A FAGET                    
LIEU-DIT   EN FUSTE                   
LIEU-DIT   EN GAILLAN                 
LIEU-DIT   AU GAVACH                  
LIEU-DIT   AUX GERMAS                 
LIEU-DIT   A LA GRANGETTE             
LIEU-DIT   AU GRUAT                   
LIEU-DIT   EN GUILLONNET              
LIEU-DIT   EN GUILLOT                 
LIEU-DIT   AU HAOURE                  
LIEU-DIT   AU HAOURET                 
