20151101
39         JURA                          
LIEU-DIT   SUR LA PLACE               
LIEU-DIT   LES POMMEROTS              
LIEU-DIT   LE PONTET                  
LIEU-DIT   LA PRAIRIE                 
LIEU-DIT   PRE MARGOT                 
LIEU-DIT   AU PRELET                  
LIEU-DIT   PRES A LA GRISE            
LIEU-DIT   QUARTIER DE LA SOURDE      
LIEU-DIT   QUARTIER DES CHENES        
LIEU-DIT   AUX QUARTIERS              
LIEU-DIT   LA ROCHETTE                
LIEU-DIT   SUR LE ROND                
LIEU-DIT   AUX RONDES                 
LIEU-DIT   LES RONDOTS                
LIEU-DIT   AUX ROUTES                 
LIEU-DIT   LES SEVES                  
LIEU-DIT   SOUS COTE GIRARD           
LIEU-DIT   SOUS LA CHASSAGNE          
LIEU-DIT   LES TEPES                  
LIEU-DIT   SUR LES TEPES              
LIEU-DIT   A LA VASOUSE               
LIEU-DIT   VEAU SERGENT               
LIEU-DIT   AU VEAUDRU                 
LIEU-DIT   LE VEAUDRU                 
LIEU-DIT   AU VILLAGE                 
LIEU-DIT   VILLAGE DESSOUS            
LIEU-DIT   VILLAGE DESSUS             
LIEU-DIT   A VIOUSSE                  
RUE        DES CREUX                  
RUE        DU BATTOIR                 
RUE        DE LA GARE                 
GR         GRANDE RUE                 
RUE        DES PETITS CHENES          
RUE        DE LA SOURDE               
RUE        DE CENSEAU                 
RUE        DE L'AVENIR                
RUE        DE CHAZEAUX                
RUE        DES CHENES                 
RUE        DE LA COMBE                
CHEMIN     DE COMBE ETANNEY           
RUE        DES CREUX                  
RUE        DE L EGLISE                
RUE        DES EPINETTES              
RUE        DE LA GARE                 
           GRANDE RUE                 
RUE        DES GRANGES DU BOIS        
RUE        DES MARAIS                 
RUE        MAL DE LATTRE DE TASSIGNY  
RUE        DES MILLIERES              
RUE        PASTEUR                    
RUE        DES PETITS CHENES          
RUE        DE LA POYE DU GUI          
RUE        DES QUARTIERS              
RUE        DE SALINS                  
RUE        DES SEVES                  
RUE        DU SOUDAN                  
RUE        DE LA SOURDE               
RUE        DE LA TUILERIE             
RUE        DU VILLAGE DU BAS          
PLACE      DE LA MAIRIE               
PLACE      DE LA SOURDE               
CHEMIN     DE VIOUSSE                 
           commune :     ANDELOT MORVAL                 departement : JURA                          
LIEU-DIT   AUX AUGES D AVENANS        
LIEU-DIT   AUX BARRIERES              
LIEU-DIT   EN BECU                    
LIEU-DIT   LES BERNADES               
LIEU-DIT   AU BERTILLAT               
LIEU-DIT   LES BERTILLATS             
LIEU-DIT   BOIS DU BANC               
LIEU-DIT   BOIS DU CHARNEY            
LIEU-DIT   AU BOUJON                  
LIEU-DIT   AUX BOUVERATS              
LIEU-DIT   AU BRANLE                  
LIEU-DIT   CHAMP DE LA CLAIRE         
LIEU-DIT   CHAMP DES ARBRES           
LIEU-DIT   CHAMPS CANTIN              
LIEU-DIT   CHAMPS CARREY              
LIEU-DIT   CHAMPS MONET               
LIEU-DIT   CHAMPS MONTAIN             
LIEU-DIT   CHAMPS PERRAUD             
LIEU-DIT   LA CHANOZ                  
LIEU-DIT   SUR CHATEAU                
LIEU-DIT   AU CHATEAU                 
LIEU-DIT   EN CHAUNEY                 
LIEU-DIT   CHENEVIERES DEVANT LES MAI 
LIEU-DIT   EN CHICARDIERE             
LIEU-DIT   AU CHU                     
LIEU-DIT   AUX CLAVIERES              
LIEU-DIT   A COLMAIN                  
LIEU-DIT   SUR LA COMBE               
LIEU-DIT   COMBE CAMUS                
LIEU-DIT   COMBE DROUGUET             
LIEU-DIT   COMBE DU CHATEAU           
LIEU-DIT   LA COMBE DU CHATEAU        
LIEU-DIT   A LA CONDAMINE             
LIEU-DIT   LA CORBIERE                
LIEU-DIT   SUR LA COURBE              
LIEU-DIT   SUR LES COUVES             
LIEU-DIT   SUR LE CRET                
LIEU-DIT   AUX CROIX                  
LIEU-DIT   AUX CURTILS                
LIEU-DIT   EN DARDOUGNE               
LIEU-DIT   EN DARFIN                  
LIEU-DIT   DESSUS DES ROUSSES         
LIEU-DIT   DESSUS LA COMBE DU CHATEAU 
LIEU-DIT   EN DOREY                   
LIEU-DIT   SUR LES ECHOUX             
LIEU-DIT   ENTRE DEUX BIEFS           
LIEU-DIT   A L ETANG                  
LIEU-DIT   FOND DE MAILLARD           
LIEU-DIT   FOND DES MILLIAGES         
LIEU-DIT   EN GRABALLE                
LIEU-DIT   GRANDS PRES                
LIEU-DIT   GRANGE DU PETIT CHARNEY    
LIEU-DIT   GROS BUIS                  
LIEU-DIT   MILIEU DE PRAILLE          
LIEU-DIT   LE MOLARD                  
LIEU-DIT   MOLARD DE LA RATTE         
LIEU-DIT   AUX MOLARDS                
LIEU-DIT   A MONTBUISSON              
LIEU-DIT   MONT FOURCHAT              
LIEU-DIT   AUX MOUILLERES             
LIEU-DIT   NOYER BERREUX              
LIEU-DIT   SUR LES OLESES             
LIEU-DIT   AU PARCHY                  
LIEU-DIT   PATURE DU FOND DE MAILLARD 
LIEU-DIT   LES PERROTS                
