20151101
78         YVELINES                      
LIEU-DIT   GRANDE PIECE DE REMISE     
LIEU-DIT   HATTONVILLE                
LIEU-DIT   LA HAUTE EPINE             
LIEU-DIT   LES JONCS                  
LIEU-DIT   LE MARCHERIOT              
LIEU-DIT   LES MARNIERES              
LIEU-DIT   LA NAVETTE                 
LIEU-DIT   OBVILLE                    
LIEU-DIT   LA PETITE CONTREE          
LIEU-DIT   LES PETITS BOIS D ERAINVIL 
LIEU-DIT   LES PETITS EVAURY          
LIEU-DIT   PIECE DE L HOTEL DIEU      
LIEU-DIT   PIECE DE LA CROIX          
LIEU-DIT   PIECE DE SOUPLAINVILLE     
LIEU-DIT   LES PLANCONS               
LIEU-DIT   LA REMISE DE CHATIGNONVILL 
LIEU-DIT   LES SIX MUIDS              
LIEU-DIT   LES TERRES NOIRES          
LIEU-DIT   LES TROIS MUIDS            
LIEU-DIT   TUILERIE DE GROSLIEU       
LIEU-DIT   VALLEE DE BOULONVILLE      
LIEU-DIT   LA VALLEE DE PARAY         
LIEU-DIT   VERS BOINVILLE             
LIEU-DIT   VERS CHATIGNONVILLE        
LIEU-DIT   VERS DOUAVILLE             
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LES VINGT HUIT SEPTIERS    
LIEU-DIT   PTE PIECE DE L HOTEL DIEU  
