20151101
36         INDRE                         
LIEU-DIT   PIECE DES GRANDS BOIS      
LIEU-DIT   PIECE DU BOEUF BLANC       
LIEU-DIT   PIECE DU GRAND CHEZEAU     
LIEU-DIT   LES PIERRES COQUES         
LIEU-DIT   LE PIGEON                  
LIEU-DIT   LE PILLETARD               
LIEU-DIT   LA PINARDIERE              
LIEU-DIT   LES PIVOTS                 
LIEU-DIT   LES POINTES                
LIEU-DIT   LE POIRIER DE CHIEN        
LIEU-DIT   POIRIER DES RUES           
LIEU-DIT   LE PONT DES PLACES         
LIEU-DIT   LES PORTES                 
LIEU-DIT   LE POTEAU                  
LIEU-DIT   PRE DE L ETANG             
LIEU-DIT   LES PRES DU BOURG          
LIEU-DIT   PRES DU PERRY              
LIEU-DIT   PRINCAY                    
LIEU-DIT   LA PRUNELAYE               
LIEU-DIT   LES PUTEES                 
LIEU-DIT   LES RABATEAUX              
LIEU-DIT   LA RELANDIERE              
LIEU-DIT   LES REPLAS                 
LIEU-DIT   LES RICHARDS               
LIEU-DIT   LES RIEAUX                 
LIEU-DIT   LA ROCHE                   
LIEU-DIT   LA ROICHERE                
LIEU-DIT   LE RONDIN                  
LIEU-DIT   LES RONNAIS                
LIEU-DIT   LES ROSIERS                
LIEU-DIT   LES ROUSSEAUX              
LIEU-DIT   LES SABLES                 
LIEU-DIT   LE SABLON                  
LIEU-DIT   SAINTE CATHERINE           
LIEU-DIT   TAILLE AUX CHATS           
LIEU-DIT   TAILLE D ANJOUIN           
LIEU-DIT   TAILLE DE L ETANG          
LIEU-DIT   TAILLE DE LA NOUE          
LIEU-DIT   TAILLE DES FONTAINES       
LIEU-DIT   TAILLE DES LIEVRES         
LIEU-DIT   LA TAILLE DU CHABOIS       
LIEU-DIT   LA TAILLE MORIET           
LIEU-DIT   LES TAILLES                
LIEU-DIT   TAILLES DE RUINES          
LIEU-DIT   LES TANNIERES              
LIEU-DIT   TERRE A L OYE              
LIEU-DIT   TERRES A DIOT              
LIEU-DIT   LES TERRES FAUX            
LIEU-DIT   LES TERRES FORTES          
LIEU-DIT   LES TERRES ROUGES          
LIEU-DIT   LES TETIERES               
LIEU-DIT   LES TOILERIES              
LIEU-DIT   LA TOUCHE                  
LIEU-DIT   LES TOUCHES                
LIEU-DIT   LES TREMBLES               
