20151101
RUE        BLANCHE                    
RUE        DU CHATEAU                 
RUE        DE CHEPY                   
IMPASSE    DUMONT                     
RUE        DE L EGLISE                
ROUTE      DE FRANLEU                 
RUE        DE FRANLEU                 
RUE        DES FRERES                 
CHEMIN     DE COURCELLES              
PLACE      FRANCOIS MITTERAND         
RUE        DE FRIERES                 
RUE        DE FRIREULLES  A   FRIERES 
RUE        DE HAUT                    
RUE        DE L HOPITAL               
GR         GRANDE RUE  A   FRIREULLES 
RUE        DU MOULIN                  
PLACE      PLACE DE LA MAIRIE         
PLACE      LA PLACE       FRIERES     
ROUTE      NATIONALE                  
PLACE      PUBLIQUE                   
GR         GRANDE RUE                 
RUE        DE LA SAVONNIERE           
RUE        DE TOEUFLES                
RUE        DE TOURS                   
RUE        DE ZOTEUX FRIERES          
COTE       DE ZOTEUX                  
           commune :     AGENVILLE                      departement : SOMME                         
LIEU-DIT   CHEMIN DE PROUVILLE        
LIEU-DIT   CROIX BIDALOTTE            
LIEU-DIT   LES DIX                    
LIEU-DIT   LES DOUZE                  
LIEU-DIT   LE GOSIER                  
LIEU-DIT   LES GRANDS FOSSES          
LIEU-DIT   LES LONGUES PIECES         
LIEU-DIT   LE MARQUAY                 
LIEU-DIT   L ORMEAU                   
LIEU-DIT   LE PIERROTIN               
LIEU-DIT   PLAINE DU MOULIN           
LIEU-DIT   LES QUARANTE               
LIEU-DIT   SAINT MARTIN               
LIEU-DIT   LES SIX                    
