20151101
27         EURE                          
LIEU-DIT   FERME DE LA ROCHE          
LIEU-DIT   FERME DE MAUREPAS NORD     
LIEU-DIT   FERME DE MAUREPAS SUD      
LIEU-DIT   FERME DE TRANSIERE         
LIEU-DIT   FERME DES POTERIES         
LIEU-DIT   LE FIEF BELLEMARE          
LIEU-DIT   LE FIEF DU BIGOT           
LIEU-DIT   LE FIEF DU BOIS            
LIEU-DIT   LE FIEF DU BOYON           
LIEU-DIT   LE FIEF GRUEL              
LIEU-DIT   LA FLEURIERE               
LIEU-DIT   LA FORET DE BRETEUIL SUD   
LIEU-DIT   FORET DE BRETEUIL EST      
LIEU-DIT   FORET DE BRETEUIL NORD     
LIEU-DIT   FORET DE BRETEUIL OUEST    
LIEU-DIT   LE GACEL                   
LIEU-DIT   HAMEAU DE BAILLY           
LIEU-DIT   HAMEAU DE CHENNECOURT      
LIEU-DIT   HAMEAU DE LAUNEL           
LIEU-DIT   HAMEAU DES MARES           
LIEU-DIT   HAMEAU DES RENARDIERES     
LIEU-DIT   HAMEAU DU COURANT          
LIEU-DIT   LES ISSUES                 
LIEU-DIT   LE LONG DE L EAU           
LIEU-DIT   LE LONG DU BOIS            
LIEU-DIT   LA LONGUE RAIE             
LIEU-DIT   LES MARDELLES              
LIEU-DIT   LA METAIRIE                
LIEU-DIT   LE MOULIN DE L EAU         
LIEU-DIT   LE MOULIN DE L HERMITE     
LIEU-DIT   LE MOULIN DE ROGER         
LIEU-DIT   LES NOES                   
LIEU-DIT   LE PARC DE L ECUREUIL      
LIEU-DIT   LE PARQUET                 
LIEU-DIT   LES PRES BARILS            
LIEU-DIT   LES PRES DE LA FORGE       
LIEU-DIT   LES PRES DE ROGER          
LIEU-DIT   LES PRES DE TRANSIERE      
LIEU-DIT   LES PRES DU BUAT           
LIEU-DIT   LA RUE MOUCHETEL           
LIEU-DIT   LES SIAULES                
LIEU-DIT   USINE DES BOTTEREAUX       
LIEU-DIT   LA VALLEE BOBEY            
LIEU-DIT   LA VALLEE HERON            
LIEU-DIT   VILLAGE D AMBENAY          
LIEU-DIT   BOIS HOBEY                 
ROUTE      D AMBENAY L ECUREUIL       
ROUTE      D AMBENAY LA LONGUE RAIE   
RUE        ARTHUR LEBON               
CHEMIN     DE BAILLY                  
CHEMIN     DE LA BORNE                
RUE        DU BOUT DU BOIS            
RUE        DU BUAT                    
RUE        DE CHENNECOURT             
RUE        CHERRUEL                   
ROUTE      DU CIMETIERE               
RUE        DU CORNET                  
ROUTE      DU COURANT                 
RUE        DU CULORON                 
RUE        DES ECOLES                 
PLACE      DE L EGLISE                
RUE        DU FIEF GRUEL              
IMPASSE    DE LA FLEURIERE            
RUE        DE LA FLEURIERE            
RUE        DU GACEL                   
RUE        DE LA GARE                 
ROUTE      DE LA GRANDE BONNEVILLE    
RUE        GUY LACOMBE                
RUE        DE LAUNEL                  
IMPASSE    DU LONG DU BOIS            
RUE        DU LONG DU BOIS            
IMPASSE    DE LA MAIRIE               
RUE        DES MARDELLES              
RUE        DES MARES                  
RUE        DE LA METAIRIE             
RUE        DES NOES                   
ROUTE      DES PETITS BOTTEREAUX      
ROUTE      DES POTERIES               
RUE        DES RENARDIERES            
RUE        DE RIVOLI                  
ROUTE      DE LA ROCHE                
